station,name,state,country,date,tmax,tmin,tobs
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-01,75,59,65
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-02,65,47,49
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-03,59,48,54
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-04,61,53,55
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-05,63,53,57
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-06,58,52,52
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-07,60,52,58
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-08,64,54,57
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-09,70,56,68
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-10,69,57,59
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-11,78,58,64
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-12,82,61,63
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-13,63,57,57
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-14,61,55,58
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-15,77,58,73
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-16,83,70,75
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-17,87,58,59
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-18,62,55,59
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-19,66,57,61
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-20,73,60,67
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-21,84,67,76
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-22,81,67,71
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-23,88,67,75
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-24,85,68,71
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-25,86,66,75
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-26,80,63,64
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-27,89,62,75
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-28,81,65,65
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-29,66,62,63
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-06-30,67,62,63
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-07-01,67,62,64
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-07-02,64,60,61
